1 1:0.679910104 2:1.596252755 3:0.634501189 4:0.505023504 5:0.043451902
1 1:0.365420983 2:0.82659809 3:0.756065101 4:0.255266582 5:0.03634246
1 1:0.95052835 2:1.908155768 3:0.603522275 4:0.643320978 5:0.037771746
1 1:0.856861713 2:1.958670096 3:0.699080681 4:0.691210016 5:0.094193549
1 1:0.557639356 2:1.319066863 3:0.60682541 4:0.425710308 5:0.034001034
1 1:0.375367328 2:0.854886113 3:0.572447153 4:0.21925584 5:0.034563048
1 1:0.784013258 2:1.761021308 3:0.644728614 4:0.51052629 5:0.044933149
1 1:0.367961684 2:0.968221896 3:0.70350624 4:0.274246294 5:0.027803462
1 1:0.422883944 2:1.033982366 3:0.542555921 4:0.305049864 5:0.036908763
1 1:0.774142172 2:2.182218957 3:0.637422165 4:0.597228307 5:0.03405201
1 1:0.60259325 2:1.465099192 3:0.631459953 4:0.438070571 5:0.043648595
1 1:0.677204354 2:1.569066863 3:0.512779604 4:0.430215682 5:0.037033191
1 1:0.103567162 2:0.210139603 3:0.659135733 4:0.064258691 5:0.047007938
1 1:0.685141496 2:1.716201323 3:0.55027927 4:0.573232173 5:0.024689626
1 1:0.536750226 2:1.013776635 3:0.531075122 4:0.302249285 5:0.023923959
1 1:0.723797013 2:1.763592946 3:0.515219541 4:0.537621917 5:0.028640214
1 1:0.204883339 2:0.438280676 3:0.698602314 4:0.123869206 5:0.043204829
1 1:1.000000046 2:2.370683321 3:0.602560197 4:0.753622818 5:0.037027243
1 1:0.83170799 2:1.884827333 3:0.531679094 4:0.653191654 5:0.02623103
1 1:0.831142763 2:1.85525349 3:0.525286619 4:0.509352168 5:0.044539228
2 1:0.922404717 2:1.875275533 3:0.509586039 4:0.540703649 5:0
2 1:0.729856554 2:1.534533431 3:0.530252011 4:0.438097506 5:0.037328462
2 1:0.903052129 2:1.940301249 3:0.660439883 4:0.591733076 5:0.040759328
2 1:0.593798403 2:1.444158707 3:0.548122612 4:0.392613974 5:0.048385621
2 1:0.304538521 2:0.560249816 3:0.606453941 4:0.187505673 5:0.038574917
2 1:0.695716044 2:1.533247612 3:0.615326438 4:0.463612186 5:0.045674459
2 1:0.761062778 2:1.875459221 3:0.657027179 4:0.578688214 5:0.046586499
2 1:0.642828718 2:1.515062454 3:0.562393436 4:0.418060722 5:0.03732775
2 1:0.76974179 2:1.347171198 3:0.645671985 4:0.415046491 5:0.036909365
2 1:0.62755718 2:1.717303453 3:0.507600417 4:0.479230701 5:0.032376798
2 1:0.752693723 2:1.779757531 3:0.567978834 4:0.492320072 5:0.036661012
2 1:0.848801769 2:1.781227039 3:0.62525455 4:0.560345022 5:0.039501082
2 1:0.576920417 2:1.725936811 3:0.61898768 4:0.409035676 5:0.030809949
2 1:0.609211317 2:1.364621602 3:0.456158636 4:0.33568491 5:0.031602108
2 1:0.427374236 2:1.236590742 3:0.557430717 4:0.412369682 5:0.043327316
2 1:0.926009619 2:2.292615724 3:0.533167642 4:0.758523599 5:0.045833621
2 1:0.327277995 2:0.665319618 3:0.607816884 4:0.18052745 5:0.033733823
2 1:0.683589686 2:1.442505511 3:0.591993372 4:0.416316861 5:0.037032816
2 1:0.712217621 2:1.515062454 3:0.6032871 4:0.438886021 5:0.037920953
2 1:0.869545182 2:2.123989713 3:0.533974719 4:0.65784054 5:0.03024393
2 1:0.711268097 2:2.033614989 3:0.512068735 4:0.567499675 5:0.031599536
3 1:0.327596665 2:0.694526084 3:0.696418932 4:0.212929236 5:0.043172639
3 1:0.683268519 2:1.401726672 3:0.590862931 4:0.551381431 5:0.05141452
3 1:0.820399925 2:1.725569434 3:0.717154387 4:0.522633641 5:0.057863443
3 1:0.583936779 2:0.926157237 3:0.703492878 4:0.311340868 5:0.065298042
